sem,lesson,title,video
1,1,الدرس 1: فضل العلم والعلماء وبعض النصائح,https://drive.google.com/file/d/1ZdMl-A722jg6YMeOhyoXsOBP7tqc-cSs/view?usp=sharing
1,2,الدرس 2: المراحل التي مر بها المذهب المالكي,https://drive.google.com/file/d/1ZTsifHOm8F9XtHnxtnGFqvdWx7OSJ0rP/view?usp=sharing
1,3,الدرس 3: أحكام المياه,https://drive.google.com/file/d/1W8bY9Qnpj-Xs4q8vR_IqXR2Uq4voO0EX/view?usp=sharing
1,4,الدرس 4: أحكام الوضوء,https://drive.google.com/file/d/19y27vN4qG_PWnDhL2ru_zuBdsa9zhfMi/view?usp=sharing
1,5,الدرس 5: فضائل ومكروهات الوضوء,https://drive.google.com/file/d/1mKJPld9TZyc_92zOWHx-ZIEJRPsSbAkL/view?usp=sharing
1,6,الدرس 6: نواقض الوضوء والاستبراء والاستجمار,https://drive.google.com/file/d/1OwDQ-BFEMx4NHkDJx-1RW7j8v8AGO5LO/view?usp=sharing
1,7,الدرس 7: أحكام الغسل,https://drive.google.com/file/d/1L5DO2TKh0Y2y33oAsxcJg_FI8iu28nv3/view?usp=sharing
1,8,الدرس 8: موجبات الغسل وأسباب التيمم,https://drive.google.com/file/d/1kJRGz2MQU4CIIe3DTFzwwZcVI58Swx_5/view?usp=sharing
1,9,الدرس 9: أحكام تتعلق بالتيمم,https://drive.google.com/file/d/1JTFL-x8eW7atgeGmVC2W07pnrtfTN7Tf/view?usp=sharing
1,10,الدرس 10: مندوبات ونواقض التيمم وفرائض الصلاة,https://drive.google.com/file/d/19TJjwLHh9Mi4sloS83ZqtLqXGIkBFdT0/view?usp=sharing
1,11,الدرس 11: فرائض الصلاة وشروط أدائها,https://drive.google.com/file/d/1pcldGwYzSfd7hqGVT2fKcHnWKmAlYp0H/view?usp=sharing
1,12,الدرس 12: ستر العورة في الصلاة وشروط وجوبها وسننها,https://drive.google.com/file/d/1RKPTvINNU2vdRwL3TJ4ZCz38l0D0dSGr/view?usp=sharing
1,13,الدرس 13: سنن الصلاة الخفيفة ومندوباتها,https://drive.google.com/file/d/1UacryxFPbdmRK4BoIsK5seyvoVI83k7L/view?usp=sharing
1,14,الدرس 14: بقية مندوبات الصلاة ومكروهاتها,https://drive.google.com/file/d/1jYnNe0wT55jp3ypbB-PqDZTTDPQb5_4z/view?usp=sharing
1,15,الدرس 15: صلاة الجنازة,https://drive.google.com/file/d/1Pzs8LjSaQaP4gAcVigy5YJx2PBNtPa0N/view?usp=sharing
1,16,الدرس 16: الصلاة على الميت وتغسيله وتكفينه ودفنه,https://drive.google.com/file/d/1T4yAcP-bzCI4MhXKQs5DWIJs3jSPtf7V/view?usp=sharing
2,1,الدرس 1: الوتر والكسوف والعيدين,https://drive.google.com/file/d/1RVQUo3pBghrTLedIQAnyQ_S4EXZGVUx_/view?usp=sharing
2,2,الدرس 2: رغيبة الفحر وقضاء الفوائت,https://drive.google.com/file/d/1L_kRA_fft8aXZCWy0dqhOOKzK-a5X0RE/view?usp=sharing
2,3,الدرس 3: سجود السهو,https://drive.google.com/file/d/1tkJBApYjIP38Qg-tUCodPVbIBObfcMrb/view?usp=sharing
2,4,الدرس 4: مبطلات الصلاة,https://drive.google.com/file/d/1hx91BCOO8Tubxy5i2h60nH0Wk6VtEIxs/view?usp=sharing
2,5,الدرس 5: بقية مبطلات الصلاة,https://drive.google.com/file/d/15NnYn1pjx805Fkc2oisx_bn62ldwz6ze/view?usp=sharing
2,6,الدرس 6: استدراك الركن المنسي,https://drive.google.com/file/d/1WO6u5aN-9Cy9qrT564eSj5LvZZ7bmq_1/view?usp=sharing
2,7,الدرس 7: الشك في الصلاة,https://drive.google.com/file/d/15umEen0UioM5mYjVqBXygaWlJyIzc1wp/view?usp=sharing
2,8,الدرس 8: صلاة الجمعة وسننها ومستحباتها,https://drive.google.com/file/d/10gF1Ld5bPc1dUAKxPT7GSbUyXcsG8O23/view?usp=sharing
2,9,الدرس 9: صلاة الجمعة وشروط الإمامة,https://drive.google.com/file/d/1Ad7ULhiu_pJEXDp4X-d4ukOM36Glcm2c/view?usp=sharing
2,10,الدرس 10: مكروهات الإمامة,https://drive.google.com/file/d/188Zqaj4Z3wCZLB_85_vKSmcZ1x2xc3RR/view?usp=sharing
2,11,الدرس 11: بقية مكروهات الإمامة,https://drive.google.com/file/d/1aYBFHFGIXjOjJrnkFcPlU5paAIp17RaB/view?usp=sharing
2,12,الدرس 12: وجوب متابعة الإمام في أفعال الصلاة,https://drive.google.com/file/d/1yuCCd6Ir8LfkzvOZdw2OQFstghOSbuc1/view?usp=sharing
2,13,الدرس 13: تكبير المسوق عند قيامه للقضاء,https://drive.google.com/file/d/1cwmLK_-_IC30NUxKOzQtXbBNBuDCbVl_/view?usp=sharing
2,14,الدرس 14: متابعة المسوق للإمام في سجود السهو,https://drive.google.com/file/d/1yfGEAHBRvPzvM19Ub343XauL214Ln4A6/view?usp=sharing
1,live1,الملتقى الأول,https://drive.google.com/file/d/1ralS9t235PV4w_R6E1kbd5Y4_ErKXxP-/view?usp=sharing
1,live2,الملتقى الثاني,https://drive.google.com/file/d/1cMUDVEkRX7fdVT_8MM-YSQEhzBD-47sD/view?usp=sharing
1,live3,الملتقى الثالث,https://drive.google.com/file/d/1dlJrfi0FBHfXHZ3ikj0uihXpviNEdB18/view?usp=sharing
1,quiz,Quiz général sur les cours,/pdf/premiere-annee/fiqh/fiqh-lesson-222.pdf
1,final,Examen final,/pdf/premiere-annee/fiqh/fiqh-lesson-222.pdf
2,live1,الملتقى الأول,https://drive.google.com/file/d/1qoOn_dccSdP_NZxclPtq02jQQqTKhXsa/view?usp=sharing
2,live2,الملتقى الثاني,https://drive.google.com/file/d/16eAgJTdxxSLtffgscUCv3eZzlnJnmJSA/view?usp=sharing
2,quiz,Quiz général sur les cours,/pdf/fiqh/s1/quiz-general.pdf
2,final,Examen final,/pdf/fiqh/s1/examen-final.pdf
